
Step nr. 1, h = 0.01
Step nr. 1318, h = 0.00220617138090292

Step nr. 1319, h = 0.00220592439449396

Step nr. 1320, h = 0.00220568118405625

Step nr. 1321, h = 0.00220544174244955

Step nr. 1322, h = 0.00220520606265178

Step nr. 1323, h = 0.00220497413775843

Step nr. 1324, h = 0.00220474596098198

Step nr. 1325, h = 0.00220452152565135

Step nr. 1326, h = 0.00220430082521143

Step nr. 1327, h = 0.0022040838532224

Step nr. 1328, h = 0.00220387060335935

Step nr. 1329, h = 0.0022036610694117

Step nr. 1330, h = 0.00220345524528268

Step nr. 1331, h = 0.0022032531249889

Step nr. 1332, h = 0.00220305470265981

Step nr. 1333, h = 0.00220285997253723

Step nr. 1334, h = 0.00220266892897492

Step nr. 1335, h = 0.00220248156643813

Step nr. 1336, h = 0.00220229787950311

Step nr. 1337, h = 0.00220211786285668

Step nr. 1338, h = 0.00220194151129586

Step nr. 1339, h = 0.00220176881972739

Step nr. 1340, h = 0.00220159978316737

Step nr. 1341, h = 0.00220143439674081

Step nr. 1342, h = 0.00220127265568132

Step nr. 1343, h = 0.00220111455533063

Step nr. 1344, h = 0.00220096009113829

Step nr. 1345, h = 0.00220080925866131

Step nr. 1346, h = 0.00220066205356376

Step nr. 1347, h = 0.00220051847161645

Step nr. 1348, h = 0.00220037850869662

Step nr. 1349, h = 0.00220024216078756

Step nr. 1350, h = 0.00220010942397834

Step nr. 1351, h = 0.00219998029446348

Step nr. 1352, h = 0.00219985476854264

Step nr. 1353, h = 0.00219973284262034

Step nr. 1354, h = 0.00219961451320568

Step nr. 1355, h = 0.00219949977691206

Step nr. 1356, h = 0.0021993886304569

Step nr. 1357, h = 0.0021992810706614

Step nr. 1358, h = 0.00219917709445028

Step nr. 1359, h = 0.00219907669885153

Step nr. 1360, h = 0.00219897988099621

Step nr. 1361, h = 0.00219888663811817

Step nr. 1362, h = 0.00219879696755388

Step nr. 1363, h = 0.00219871086674219

Step nr. 1364, h = 0.00219862833322417

Step nr. 1365, h = 0.00219854936464284

Step nr. 1366, h = 0.00219847395874307

Step nr. 1367, h = 0.00219840211337134

Step nr. 1368, h = 0.00219833382647563

Step nr. 1369, h = 0.00219826909610518

Step nr. 1370, h = 0.0021982079204104

Step nr. 1371, h = 0.00219815029764273

Step nr. 1372, h = 0.00219809622615442

Step nr. 1373, h = 0.00219804570439851

Step nr. 1374, h = 0.00219799873092862

Step nr. 1375, h = 0.0021979553043989

Step nr. 1376, h = 0.00219791542356386

Step nr. 1377, h = 0.00219787908727833

Step nr. 1378, h = 0.00219784629449735

Step nr. 1379, h = 0.00219781704427606

Step nr. 1380, h = 0.00219779133576965

Step nr. 1381, h = 0.0021977691682333

Step nr. 1382, h = 0.00219775054102211

Step nr. 1383, h = 0.00219773545359103

Step nr. 1384, h = 0.00219772390549484

Step nr. 1385, h = 0.0021977158963881

Step nr. 1386, h = 0.00219771142602515

Step nr. 1387, h = 0.00219771049426002

Step nr. 1388, h = 0.0021977131010465

Step nr. 1389, h = 0.00219771924643808

Step nr. 1390, h = 0.00219772893058796

Step nr. 1391, h = 0.00219774215374908

Step nr. 1392, h = 0.00219775891627409

Step nr. 1393, h = 0.00219777921861545

Step nr. 1394, h = 0.00219780306132539

Step nr. 1395, h = 0.00219783044505598

Step nr. 1396, h = 0.00219786137055919

Step nr. 1397, h = 0.00219789583868692

Step nr. 1398, h = 0.00219793385039108

Step nr. 1399, h = 0.00219797540672366

Step nr. 1400, h = 0.00219802050883678

Step nr. 1401, h = 0.00219806915798284

Step nr. 1402, h = 0.00219812135551455

Step nr. 1403, h = 0.00219817710288505

Step nr. 1404, h = 0.00219823640164804

Step nr. 1405, h = 0.00219829925345787

Step nr. 1406, h = 0.00219836566006969

Step nr. 1407, h = 0.00219843562333958

Step nr. 1408, h = 0.00219850914522465

Step nr. 1409, h = 0.00219858622778324

Step nr. 1410, h = 0.00219866687317507

Step nr. 1411, h = 0.00219875108366137

Step nr. 1412, h = 0.00219883886160508

Step nr. 1413, h = 0.00219893020947102

Step nr. 1414, h = 0.00219902512982611

Step nr. 1415, h = 0.0021991236253395

Step nr. 1416, h = 0.00219922569878284

Step nr. 1417, h = 0.00219933135303047

Step nr. 1418, h = 0.00219944059105962

Step nr. 1419, h = 0.00219955341595066

Step nr. 1420, h = 0.00219966983088734

Step nr. 1421, h = 0.00219978983915703

Step nr. 1422, h = 0.00219991344415096

Step nr. 1423, h = 0.00220004064936451

Step nr. 1424, h = 0.00220017145839746

Step nr. 1425, h = 0.00220030587495425

Step nr. 1426, h = 0.00220044390284433

Step nr. 1427, h = 0.00220058554598238

Step nr. 1428, h = 0.00220073080838867

Step nr. 1429, h = 0.00220087969418935

Step nr. 1430, h = 0.00220103220761675

Step nr. 1431, h = 0.00220118835300977

Step nr. 1432, h = 0.00220134813481415

Step nr. 1433, h = 0.00220151155758287

Step nr. 1434, h = 0.00220167862597646

Step nr. 1435, h = 0.00220184934476343

Step nr. 1436, h = 0.00220202371882055

Step nr. 1437, h = 0.00220220175313331

Step nr. 1438, h = 0.00220238345279633

Step nr. 1439, h = 0.00220256882301365

Step nr. 1440, h = 0.00220275786909925

Step nr. 1441, h = 0.00220295059647741

Step nr. 1442, h = 0.00220314701068318

Step nr. 1443, h = 0.00220334711736276

Step nr. 1444, h = 0.00220355092227402

Step nr. 1445, h = 0.00220375843128692

Step nr. 1446, h = 0.00220396965038393

Step nr. 1447, h = 0.00220418458566059

Step nr. 1448, h = 0.00220440324332597

Step nr. 1449, h = 0.00220462562970312

Step nr. 1450, h = 0.00220485175122962

Step nr. 1451, h = 0.00220508161445809

Step nr. 1452, h = 0.00220531522605673

Step nr. 1453, h = 0.00220555259280981

Step nr. 1454, h = 0.00220579372161824

Step nr. 1455, h = 0.00220603861950015

Step nr. 1456, h = 0.00220628729359146

Step nr. 1457, h = 0.00220653975114635

Step nr. 1458, h = 0.00220679599953799

Step nr. 1459, h = 0.00220705604625909

Step nr. 1460, h = 0.00220731989892246

Step nr. 1461, h = 0.00220758756526169

Step nr. 1462, h = 0.00220785905313176

Step nr. 1463, h = 0.00220813437050968

Step nr. 1464, h = 0.00220841352549511

Step nr. 1465, h = 0.00220869652631112

Step nr. 1466, h = 0.00220898338130477

Step nr. 1467, h = 0.00220927409894783

Step nr. 1468, h = 0.0022095686878375

Step nr. 1469, h = 0.00220986715669706

Step nr. 1470, h = 0.00221016951437667

Step nr. 1471, h = 0.00221047576985408

Step nr. 1472, h = 0.00221078593223535

Step nr. 1473, h = 0.0022111000107556

Step nr. 1474, h = 0.00221141801477986

Step nr. 1475, h = 0.00221173995380376

Step nr. 1476, h = 0.00221206583745439

Step nr. 1477, h = 0.00221239567549104

Step nr. 1478, h = 0.00221272947780612

Step nr. 1479, h = 0.00221306725442589

Step nr. 1480, h = 0.00221340901551144

Step nr. 1481, h = 0.00221375477135939

Step nr. 1482, h = 0.00221410453240289

Step nr. 1483, h = 0.00221445830921245

Step nr. 1484, h = 0.00221481611249686

Step nr. 1485, h = 0.00221517795310414

Step nr. 1486, h = 0.00221554384202236

Step nr. 1487, h = 0.0022159137903807

Step nr. 1488, h = 0.00221628780945038

Step nr. 1489, h = 0.00221666591064561

Step nr. 1490, h = 0.00221704810552455

Step nr. 1491, h = 0.00221743440579043

Step nr. 1492, h = 0.00221782482329245

Step nr. 1493, h = 0.00221821937002688

Step nr. 1494, h = 0.00221861805813797

Step nr. 1495, h = 0.00221902089991926

Step nr. 1496, h = 0.00221942790781452

Step nr. 1497, h = 0.00221983909441878

Step nr. 1498, h = 0.00222025447247957

Step nr. 1499, h = 0.00222067405489793

Step nr. 1500, h = 0.00222109785472977

Step nr. 1501, h = 0.00222152588518669

Step nr. 1502, h = 0.00222195815963752

Step nr. 1503, h = 0.00222239469160926

Step nr. 1504, h = 0.0022228354947884

Step nr. 1505, h = 0.00222328058302216

Step nr. 1506, h = 0.0022237299703197

Step nr. 1507, h = 0.00222418367085345

Step nr. 1508, h = 0.00222464169896026

Step nr. 1509, h = 0.00222510406914289

Step nr. 1510, h = 0.00222557079607116

Step nr. 1511, h = 0.00222604189458347

Step nr. 1512, h = 0.00222651737968805

Step nr. 1513, h = 0.00222699726656427

Step nr. 1514, h = 0.00222748157056422

Step nr. 1515, h = 0.002227970307214

Step nr. 1516, h = 0.00222846349221526

Step nr. 1517, h = 0.00222896114144656

Step nr. 1518, h = 0.00222946327096494

Step nr. 1519, h = 0.00222996989700738

Step nr. 1520, h = 0.00223048103599237

Step nr. 1521, h = 0.00223099670452133

Step nr. 1522, h = 0.00223151691938037

Step nr. 1523, h = 0.00223204169754184

Step nr. 1524, h = 0.00223257105616578

Step nr. 1525, h = 0.00223310501260178

Step nr. 1526, h = 0.00223364358439048

Step nr. 1527, h = 0.00223418678926538

Step nr. 1528, h = 0.00223473464515445

Step nr. 1529, h = 0.00223528717018193

Step nr. 1530, h = 0.00223584438267008

Step nr. 1531, h = 0.00223640630114094

Step nr. 1532, h = 0.00223697294431819

Step nr. 1533, h = 0.00223754433112895

Step nr. 1534, h = 0.00223812048070559

Step nr. 1535, h = 0.00223870141238772

Step nr. 1536, h = 0.0022392871457241

Step nr. 1537, h = 0.00223987770047459

Step nr. 1538, h = 0.00224047309661194

Step nr. 1539, h = 0.00224107335432401

Step nr. 1540, h = 0.0022416784940158

Step nr. 1541, h = 0.00224228853631138

Step nr. 1542, h = 0.002242903502056

Step nr. 1543, h = 0.00224352341231832

Step nr. 1544, h = 0.00224414828839237

Step nr. 1545, h = 0.00224477815179993

Step nr. 1546, h = 0.00224541302429265

Step nr. 1547, h = 0.00224605292785425

Step nr. 1548, h = 0.0022466978847029

Step nr. 1549, h = 0.00224734791729347

Step nr. 1550, h = 0.00224800304831983

Step nr. 1551, h = 0.00224866330071722

Step nr. 1552, h = 0.0022493286976648

Step nr. 1553, h = 0.00224999926258801

Step nr. 1554, h = 0.00225067501916099

Step nr. 1555, h = 0.00225135599130919

Step nr. 1556, h = 0.00225204220321183

Step nr. 1557, h = 0.0022527336793046

Step nr. 1558, h = 0.00225343044428215

Step nr. 1559, h = 0.00225413252310095

Step nr. 1560, h = 0.00225483994098182

Step nr. 1561, h = 0.00225555272341273

Step nr. 1562, h = 0.00225627089615166

Step nr. 1563, h = 0.00225699448522932

Step nr. 1564, h = 0.00225772351695195

Step nr. 1565, h = 0.00225845801790457

Step nr. 1566, h = 0.00225919801495346

Step nr. 1567, h = 0.00225994353524958

Step nr. 1568, h = 0.00226069460623137

Step nr. 1569, h = 0.00226145125562781

Step nr. 1570, h = 0.00226221351146176

Step nr. 1571, h = 0.00226298140205296

Step nr. 1572, h = 0.00226375495602135

Step nr. 1573, h = 0.0022645342022902

Step nr. 1574, h = 0.0022653191700896

Step nr. 1575, h = 0.00226610988895977

Step nr. 1576, h = 0.00226690638875458

Step nr. 1577, h = 0.00226770869964471

Step nr. 1578, h = 0.00226851685212157

Step nr. 1579, h = 0.00226933087700062

Step nr. 1580, h = 0.00227015080542511

Step nr. 1581, h = 0.00227097666886977

Step nr. 1582, h = 0.00227180849914446

Step nr. 1583, h = 0.00227264632839809

Step nr. 1584, h = 0.00227349018912238

Step nr. 1585, h = 0.00227434011415592

Step nr. 1586, h = 0.00227519613668796

Step nr. 1587, h = 0.00227605829026258

Step nr. 1588, h = 0.00227692660878273

Step nr. 1589, h = 0.0022778011265145

Step nr. 1590, h = 0.00227868187809119

Step nr. 1591, h = 0.00227956889851764

Step nr. 1592, h = 0.00228046222317481

Step nr. 1593, h = 0.00228136188782385

Step nr. 1594, h = 0.00228226792861081

Step nr. 1595, h = 0.00228318038207122

Step nr. 1596, h = 0.00228409928513459

Step nr. 1597, h = 0.00228502467512923

Step nr. 1598, h = 0.0022859565897872

Step nr. 1599, h = 0.00228689506724866

Step nr. 1600, h = 0.00228784014606737

Step nr. 1601, h = 0.00228879186521535

Step nr. 1602, h = 0.00228975026408809

Step nr. 1603, h = 0.00229071538250973

Step nr. 1604, h = 0.00229168726073829

Step nr. 1605, h = 0.00229266593947106

Step nr. 1606, h = 0.00229365145984991

Step nr. 1607, h = 0.00229464386346691

Step nr. 1608, h = 0.00229564319236988

Step nr. 1609, h = 0.00229664948906815

Step nr. 1610, h = 0.00229766279653817

Step nr. 1611, h = 0.00229868315822974

Step nr. 1612, h = 0.00229971061807141

Step nr. 1613, h = 0.00230074522047719

Step nr. 1614, h = 0.00230178701035219

Step nr. 1615, h = 0.00230283603309921

Step nr. 1616, h = 0.00230389233462499

Step nr. 1617, h = 0.00230495596134673

Step nr. 1618, h = 0.00230602696019857

Step nr. 1619, h = 0.00230710537863833

Step nr. 1620, h = 0.00230819126465455

Step nr. 1621, h = 0.0023092846667729

Step nr. 1622, h = 0.00231038563406364

Step nr. 1623, h = 0.00231149421614864

Step nr. 1624, h = 0.00231261046320857

Step nr. 1625, h = 0.00231373442599032

Step nr. 1626, h = 0.00231486615581459

Step nr. 1627, h = 0.00231600570458354

Step nr. 1628, h = 0.00231715312478822

Step nr. 1629, h = 0.00231830846951709

Step nr. 1630, h = 0.00231947179246356

Step nr. 1631, h = 0.00232064314793415

Step nr. 1632, h = 0.00232182259085718

Step nr. 1633, h = 0.00232301017679093

Step nr. 1634, h = 0.00232420596193229

Step nr. 1635, h = 0.00232541000312545

Step nr. 1636, h = 0.00232662235787096

Step nr. 1637, h = 0.00232784308433471

Step nr. 1638, h = 0.00232907224135708

Step nr. 1639, h = 0.00233030988846238

Step nr. 1640, h = 0.00233155608586842

Step nr. 1641, h = 0.00233281089449594

Step nr. 1642, h = 0.00233407437597899

Step nr. 1643, h = 0.00233534659267448

Step nr. 1644, h = 0.00233662760767266

Step nr. 1645, h = 0.00233791748480755

Step nr. 1646, h = 0.0023392162886674

Step nr. 1647, h = 0.0023405240846055

Step nr. 1648, h = 0.00234184093875139

Step nr. 1649, h = 0.00234316691802161

Step nr. 1650, h = 0.00234450209013131

Step nr. 1651, h = 0.00234584652360616

Step nr. 1652, h = 0.00234720028779328

Step nr. 1653, h = 0.00234856345287421

Step nr. 1654, h = 0.00234993608987646

Step nr. 1655, h = 0.00235131827068642

Step nr. 1656, h = 0.00235271006806169

Step nr. 1657, h = 0.00235411155564397

Step nr. 1658, h = 0.00235552280797264

Step nr. 1659, h = 0.00235694390049776

Step nr. 1660, h = 0.00235837490959386

Step nr. 1661, h = 0.00235981591257386

Step nr. 1662, h = 0.00236126698770312

Step nr. 1663, h = 0.00236272821421402

Step nr. 1664, h = 0.00236419967232054

Step nr. 1665, h = 0.0023656814432333

Step nr. 1666, h = 0.00236717360917485

Step nr. 1667, h = 0.00236867625339519

Step nr. 1668, h = 0.00237018946018755

Step nr. 1669, h = 0.00237171331490466

Step nr. 1670, h = 0.00237324790397522

Step nr. 1671, h = 0.00237479331492064

Step nr. 1672, h = 0.00237634963637205

Step nr. 1673, h = 0.00237791695808806

Step nr. 1674, h = 0.00237949537097215

Step nr. 1675, h = 0.00238108496709118

Step nr. 1676, h = 0.0023826858396935

Step nr. 1677, h = 0.00238429808322827

Step nr. 1678, h = 0.00238592179336408

Step nr. 1679, h = 0.00238755706700933

Step nr. 1680, h = 0.0023892040023315

Step nr. 1681, h = 0.00239086269877802

Step nr. 1682, h = 0.00239253325709704

Step nr. 1683, h = 0.00239421577935824

Step nr. 1684, h = 0.00239591036897504

Step nr. 1685, h = 0.00239761713072645

Step nr. 1686, h = 0.00239933617077972

Step nr. 1687, h = 0.00240106759671331

Step nr. 1688, h = 0.00240281151754014

Step nr. 1689, h = 0.00240456804373209

Step nr. 1690, h = 0.00240633728724386

Step nr. 1691, h = 0.00240811936153852

Step nr. 1692, h = 0.00240991438161237

Step nr. 1693, h = 0.00241172246402182

Step nr. 1694, h = 0.00241354372690914

Step nr. 1695, h = 0.00241537829003008

Step nr. 1696, h = 0.00241722627478134

Step nr. 1697, h = 0.00241908780422903

Step nr. 1698, h = 0.00242096300313751

Step nr. 1699, h = 0.00242285199799889

Step nr. 1700, h = 0.00242475491706317

Step nr. 1701, h = 0.00242667189036922

Step nr. 1702, h = 0.00242860304977592

Step nr. 1703, h = 0.00243054852899456

Step nr. 1704, h = 0.00243250846362179

Step nr. 1705, h = 0.00243448299117287

Step nr. 1706, h = 0.00243647225111625

Step nr. 1707, h = 0.00243847638490848

Step nr. 1708, h = 0.00244049553603031

Step nr. 1709, h = 0.002442529850023

Step nr. 1710, h = 0.00244457947452599

Step nr. 1711, h = 0.00244664455931521

Step nr. 1712, h = 0.00244872525634208

Step nr. 1713, h = 0.00245082171977403

Step nr. 1714, h = 0.00245293410603464

Step nr. 1715, h = 0.0024550625738465

Step nr. 1716, h = 0.00245720728427329

Step nr. 1717, h = 0.00245936840076415

Step nr. 1718, h = 0.00246154608919812

Step nr. 1719, h = 0.00246374051793033

Step nr. 1720, h = 0.00246595185783901

Step nr. 1721, h = 0.00246818028237328

Step nr. 1722, h = 0.00247042596760251

Step nr. 1723, h = 0.00247268909226669

Step nr. 1724, h = 0.0024749698378279

Step nr. 1725, h = 0.00247726838852309

Step nr. 1726, h = 0.00247958493141825

Step nr. 1727, h = 0.00248191965646365

Step nr. 1728, h = 0.00248427275655022

Step nr. 1729, h = 0.00248664442756827

Step nr. 1730, h = 0.00248791997658067

Step nr. 1731, h = 0.00248781932535694

Step nr. 1732, h = 0.00248686311440824

Step nr. 1733, h = 0.00248537804233976

Step nr. 1734, h = 0.00248356883543837

Step nr. 1735, h = 0.00248156366154099

Step nr. 1736, h = 0.00247944269452365

Step nr. 1737, h = 0.00247725604478918

Step nr. 1738, h = 0.00247503500046984

Step nr. 1739, h = 0.00247279906936037

Step nr. 1740, h = 0.00247056038808004

Step nr. 1741, h = 0.00246832648191543

Step nr. 1742, h = 0.00246610199195004

Step nr. 1743, h = 0.00246388975577379

Step nr. 1744, h = 0.00246169148364878

Step nr. 1745, h = 0.00245950818153564

Step nr. 1746, h = 0.00245734041573446

Step nr. 1747, h = 0.00245518847842983

Step nr. 1748, h = 0.00245305249123992

Step nr. 1749, h = 0.00245093246997913

Step nr. 1750, h = 0.0024488283651565

Step nr. 1751, h = 0.00244674008729431

Step nr. 1752, h = 0.00244466752275178

Step nr. 1753, h = 0.00244261054360729

Step nr. 1754, h = 0.00244056901382599

Step nr. 1755, h = 0.00243854279310311

Step nr. 1756, h = 0.00243653173925331

Step nr. 1757, h = 0.00243453570969132

Step nr. 1758, h = 0.00243255456234401

Step nr. 1759, h = 0.00243058815620768

Step nr. 1760, h = 0.00242863635168308

Step nr. 1761, h = 0.00242669901077197

Step nr. 1762, h = 0.00242477599718748

Step nr. 1763, h = 0.0024228671764103

Step nr. 1764, h = 0.00242097241571173

Step nr. 1765, h = 0.00241909158415671

Step nr. 1766, h = 0.00241722455259327

Step nr. 1767, h = 0.00241537119363472

Step nr. 1768, h = 0.00241353138163745

Step nr. 1769, h = 0.00241170499267605

Step nr. 1770, h = 0.00240989190451678

Step nr. 1771, h = 0.00240809199659092

Step nr. 1772, h = 0.00240630514996708

Step nr. 1773, h = 0.0024045312473248

Step nr. 1774, h = 0.00240277017292702

Step nr. 1775, h = 0.00240102181259431

Step nr. 1776, h = 0.0023992860536785

Step nr. 1777, h = 0.00239756278503706

Step nr. 1778, h = 0.00239585189700855

Step nr. 1779, h = 0.00239415328138761

Step nr. 1780, h = 0.002392466831401

Step nr. 1781, h = 0.00239079244168409

Step nr. 1782, h = 0.00238913000825743

Step nr. 1783, h = 0.0023874794285047

Step nr. 1784, h = 0.00238584060114995

Step nr. 1785, h = 0.00238421342623591

Step nr. 1786, h = 0.00238259780510292

Step nr. 1787, h = 0.00238099364036778

Step nr. 1788, h = 0.00237940083590332

Step nr. 1789, h = 0.00237781929681843

Step nr. 1790, h = 0.00237624892943828

Step nr. 1791, h = 0.00237468964128488

Step nr. 1792, h = 0.00237314134105857

Step nr. 1793, h = 0.00237160393861892

Step nr. 1794, h = 0.00237007734496693

Step nr. 1795, h = 0.00236856147222712

Step nr. 1796, h = 0.0023670562336298

Step nr. 1797, h = 0.00236556154349419

Step nr. 1798, h = 0.00236407731721162

Step nr. 1799, h = 0.00236260347122859

Step nr. 1800, h = 0.00236113992303114

Step nr. 1801, h = 0.00235968659112854

Step nr. 1802, h = 0.00235824339503792

Step nr. 1803, h = 0.00235681025526889

Step nr. 1804, h = 0.00235538709330854

Step nr. 1805, h = 0.00235397383160668

Step nr. 1806, h = 0.00235257039356165

Step nr. 1807, h = 0.00235117670350575

Step nr. 1808, h = 0.00234979268669146

Step nr. 1809, h = 0.00234841826927807

Step nr. 1810, h = 0.00234705337831766

Step nr. 1811, h = 0.00234569794174265

Step nr. 1812, h = 0.00234435188835232

Step nr. 1813, h = 0.00234301514780037

Step nr. 1814, h = 0.00234168765058253

Step nr. 1815, h = 0.00234036932802401

Step nr. 1816, h = 0.00233906011226803

Step nr. 1817, h = 0.00233775993626341

Step nr. 1818, h = 0.00233646873375341

Step nr. 1819, h = 0.00233518643926422

Step nr. 1820, h = 0.00233391298809387

Step nr. 1821, h = 0.00233264831630113

Step nr. 1822, h = 0.00233139236069478

Step nr. 1823, h = 0.00233014505882306

Step nr. 1824, h = 0.00232890634896334

Step nr. 1825, h = 0.00232767617011181

Step nr. 1826, h = 0.00232645446197336

Step nr. 1827, h = 0.00232524116495179

Step nr. 1828, h = 0.00232403622014032

Step nr. 1829, h = 0.00232283956931161

Step nr. 1830, h = 0.00232165115490897

Step nr. 1831, h = 0.00232047092003673

Step nr. 1832, h = 0.0023192988084514

Step nr. 1833, h = 0.00231813476455274

Step nr. 1834, h = 0.00231697873337498

Step nr. 1835, h = 0.00231583066057833

Step nr. 1836, h = 0.00231469049244053

Step nr. 1837, h = 0.00231355817584852

Step nr. 1838, h = 0.00231243365829024

Step nr. 1839, h = 0.00231131688784677

Step nr. 1840, h = 0.00231020781318431

Step nr. 1841, h = 0.00230910638354657

Step nr. 1842, h = 0.00230801254874692

Step nr. 1843, h = 0.00230692625916121

Step nr. 1844, h = 0.00230584746572016

Step nr. 1845, h = 0.00230477611990224

Step nr. 1846, h = 0.00230371217372641

Step nr. 1847, h = 0.00230265557974536

Step nr. 1848, h = 0.00230160629103841

Step nr. 1849, h = 0.00230056426120472

Step nr. 1850, h = 0.00229952944435694

Step nr. 1851, h = 0.0022985017951141

Step nr. 1852, h = 0.00229748126859568

Step nr. 1853, h = 0.00229646782041502

Step nr. 1854, h = 0.0022954614066732

Step nr. 1855, h = 0.00229446198395257

Step nr. 1856, h = 0.00229346950931123

Step nr. 1857, h = 0.00229248394027665

Step nr. 1858, h = 0.00229150523483996

Step nr. 1859, h = 0.00229053335145035

Step nr. 1860, h = 0.00228956824900924

Step nr. 1861, h = 0.00228860988686456

Step nr. 1862, h = 0.00228765822480566

Step nr. 1863, h = 0.00228671322305754

Step nr. 1864, h = 0.00228577484227576

Step nr. 1865, h = 0.00228484304354111

Step nr. 1866, h = 0.00228391778835446

Step nr. 1867, h = 0.00228299903863169

Step nr. 1868, h = 0.0022820867566989

Step nr. 1869, h = 0.00228118090528723

Step nr. 1870, h = 0.00228028144752808

Step nr. 1871, h = 0.00227938834694847

Step nr. 1872, h = 0.00227850156746623

Step nr. 1873, h = 0.00227762107338562

Step nr. 1874, h = 0.0022767468293924

Step nr. 1875, h = 0.00227587880054967

Step nr. 1876, h = 0.0022750169522934

Step nr. 1877, h = 0.00227416125042799

Step nr. 1878, h = 0.00227331166112218

Step nr. 1879, h = 0.00227246815090471

Step nr. 1880, h = 0.00227163068666023

Step nr. 1881, h = 0.00227079923562523

Step nr. 1882, h = 0.00226997376538397

Step nr. 1883, h = 0.00226915424386462

Step nr. 1884, h = 0.00226834063933531

Step nr. 1885, h = 0.0022675329204003

Step nr. 1886, h = 0.00226673105599616

Step nr. 1887, h = 0.00226593501538819

Step nr. 1888, h = 0.00226514476816659

Step nr. 1889, h = 0.00226436028424297

Step nr. 1890, h = 0.00226358153384672

Step nr. 1891, h = 0.00226280848752155

Step nr. 1892, h = 0.00226204111612202

Step nr. 1893, h = 0.00226127939081019

Step nr. 1894, h = 0.00226052328305217

Step nr. 1895, h = 0.00225977276461494

Step nr. 1896, h = 0.00225902780756302

Step nr. 1897, h = 0.00225828838425527

Step nr. 1898, h = 0.00225755446734183

Step nr. 1899, h = 0.00225682602976083

Step nr. 1900, h = 0.00225610304473548

Step nr. 1901, h = 0.00225538548577111

Step nr. 1902, h = 0.00225467332665195

Step nr. 1903, h = 0.00225396654143839

Step nr. 1904, h = 0.00225326510446407

Step nr. 1905, h = 0.00225256899033303

Step nr. 1906, h = 0.00225187817391684

Step nr. 1907, h = 0.0022511926303519

Step nr. 1908, h = 0.00225051233503674

Step nr. 1909, h = 0.00224983726362924

Step nr. 1910, h = 0.00224916739204412

Step nr. 1911, h = 0.00224850269645017

Step nr. 1912, h = 0.00224784315326784

Step nr. 1913, h = 0.00224718873916659

Step nr. 1914, h = 0.00224653943106251

Step nr. 1915, h = 0.00224589520611578

Step nr. 1916, h = 0.00224525604172817

Step nr. 1917, h = 0.00224462191554081

Step nr. 1918, h = 0.00224399280543182

Step nr. 1919, h = 0.00224336868951382

Step nr. 1920, h = 0.00224274954613184

Step nr. 1921, h = 0.00224213535386096

Step nr. 1922, h = 0.00224152609150413

Step nr. 1923, h = 0.00224092173808995

Step nr. 1924, h = 0.00224032227287045

Step nr. 1925, h = 0.00223972767531911

Step nr. 1926, h = 0.00223913792512866

Step nr. 1927, h = 0.00223855300220904

Step nr. 1928, h = 0.00223797288668536

Step nr. 1929, h = 0.00223739755889581

Step nr. 1930, h = 0.00223682699938989

Step nr. 1931, h = 0.00223626118892616

Step nr. 1932, h = 0.00223570010847058

Step nr. 1933, h = 0.00223514373919444

Step nr. 1934, h = 0.00223459206247258

Step nr. 1935, h = 0.0022340450598815

Step nr. 1936, h = 0.00223350271319761

Step nr. 1937, h = 0.00223296500439529

Step nr. 1938, h = 0.00223243191564529

Step nr. 1939, h = 0.00223190342931286

Step nr. 1940, h = 0.00223137952795615

Step nr. 1941, h = 0.00223086019432439

Step nr. 1942, h = 0.00223034541135627

Step nr. 1943, h = 0.00222983516217838

Step nr. 1944, h = 0.00222932943010344

Step nr. 1945, h = 0.00222882819862882

Step nr. 1946, h = 0.00222833145143486

Step nr. 1947, h = 0.00222783917238347

Step nr. 1948, h = 0.00222735134551636

Step nr. 1949, h = 0.00222686795505374

Step nr. 1950, h = 0.00222638898539282

Step nr. 1951, h = 0.00222591442110617

Step nr. 1952, h = 0.00222544424694047

